Nazwa;KOSZT;KOSZ Z MARŻĄ;Pomiń marże;Opis;Main Flaga;Flaga;ItemCategory;ItemType;ItemGroupType;PLIK;Stackowanie;Instancja[OLD];visualInstance;Instancja [SAGA3];Waga;Tier;adminRank;hideNick;Liczba użyć;Stamina 1 Hit;HP 1 hit;Mana 1 Hit;Stamina;HP;MANA;Rodzaj Obrażeń;DMG;Zasięg;W: Siła;W: Zręczność;W: Inteligencja;healing_tick;efekt czaru;Instancja przemiany;HP przemiany;W: Krąg;W: Mana;runeType;Przedmiot do naprawy;Wytrzymałość;canRob;Podatek Silden %;Podatek Geldern %;expirationTime;foodType;enduranceCost;arrowSpeed;Obuchowa;Pociski;Sieczna;Magia;Ogień;Upadek;Profesja;Kategoria;model nazwa;Do katalogu?
Pieczona ryba;2,63;3,02;FAŁSZ;Ryba upieczona nad ogniem, gotowa do spożycia.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_FISH;-;ITFO_GS_01;0,3;0;Gamemaster;FAŁSZ;1;5;BRAK;BRAK;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;43200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_Fish.3ds;PRAWDA
Pieczone mięso;3,13;3,44;FAŁSZ;Kawałek upieczonego, soczystego mięsa.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;"ITFO_ROASTEDRATMEAT			";-;ITFO_GS_02;0,3;0;Gamemaster;FAŁSZ;1;5;BRAK;BRAK;5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;43200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_cooked_meat_02.3ds;PRAWDA
Pieczony chwast;2,47;2,71;FAŁSZ;Wysuszone i upieczone liście ziela.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITPL_WEED;-;ITFO_GS_71;0,3;0;Gamemaster;FAŁSZ;1;5;BRAK;BRAK;4;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;43200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ITPL_WEED.3ds;PRAWDA
Pasztet z resztek;3,63;3,99;FAŁSZ;Wytworzony z wszelakich pozostałości, które nadawały się jeszcze do zjedzenia i zmielenia.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_POORPATE;-;ITFO_GS_03;0,3;0;Gamemaster;FAŁSZ;1;10;BRAK;BRAK;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;43200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_oatmeal.3ds;PRAWDA
Pieczone owady;2,80;3,08;FAŁSZ;Chrupiące, starannie wypieczone insekty stanowiące pożywną przekąskę.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_ROASTEDINSECTS;-;ITFO_GS_04;0,3;0;Gamemaster;FAŁSZ;1;10;BRAK;BRAK;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;43200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_meatbug.3ds;PRAWDA
Chrupkie łuski rybne;4,88;5,44;FAŁSZ;Wytrawne, chrupiące łuski ze świeżo złowionej ryby.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_FRIEDFISHSKINS;-;ITFO_GS_05;0,3;0;Gamemaster;FAŁSZ;1;10;BRAK;BRAK;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;43200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_FriedFishSkins.3ds;PRAWDA
Suszona ryba;4,25;4,91;FAŁSZ;Kawałek ususzonej ryby.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_FISH;ITFO_GS_01;ITFO_GS_01_V1;0,3;1;Gamemaster;FAŁSZ;1;5;BRAK;BRAK;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;345600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_Fish.3ds;PRAWDA
Suszone mięso;4,40;4,93;FAŁSZ;Kawałek upieczonego, soczystego mięsa.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;"ITFO_ROASTEDRATMEAT			";ITFO_GS_02;ITFO_GS_02_V1;0,3;1;Gamemaster;FAŁSZ;1;5;BRAK;BRAK;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;345600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_cooked_meat_02.3ds;PRAWDA
Racje żywnościowe;BRAK;BRAK;PRAWDA;Racje żywnościowe, sycące idealne na długie wyprawy.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;"ITFO_ROASTEDRATMEAT			";ITFO_GS_17;ITFO_GS_17_V1;0,3;0;Gamemaster;FAŁSZ;1;100;BRAK;BRAK;100;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;BRAK;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;;;FAŁSZ
Wiejska jajecznica;5,42;6,70;FAŁSZ;Jajecznica przyrządzona z wiejskich jaj.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_POOREGGS;-;ITFO_GS_06;0,4;1;Gamemaster;FAŁSZ;1;20;BRAK;BRAK;20;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;129600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_ScrambledEggs.3ds;PRAWDA
Szczur na patyku;3,70;4,36;FAŁSZ;Oskórowany szczur nadziany na drewniany patyk, pieczony na ogniu.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_RATSTICK;-;ITFO_GS_07;0,4;1;Gamemaster;FAŁSZ;1;15;BRAK;BRAK;20;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;129600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_shashlik.3ds;PRAWDA
Ryba w cieście piwnym;2,91;3,53;FAŁSZ;Kawałki morskiej ryby obtoczone w chrupiącym cieście na bazie piwa.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_BEERFISH;-;ITFO_GS_08;0,4;1;Gamemaster;FAŁSZ;1;20;BRAK;BRAK;14;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;129600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_BeerFish.3ds;PRAWDA
Bigos z ochłapów;4,68;5,53;FAŁSZ;Gęsty bigos przygotowany z resztek mięsa i kapusty.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_MEATMISHMASH;-;ITFO_GS_09;0,4;1;Gamemaster;FAŁSZ;1;20;BRAK;BRAK;17;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;129600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ITFO_STEW_02.3ds;PRAWDA
Kiszone grzyby;2,99;3,49;FAŁSZ;Grzyby leśne w aromatycznej solance, konserwowane tradycyjną metodą.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_PICKLEDMUSHROOMS;-;ITFO_GS_10;0,4;1;Gamemaster;FAŁSZ;1;10;BRAK;BRAK;12;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;129600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_mushrooms.3ds;PRAWDA
Kwaśna rzepa;3,36;3,92;FAŁSZ;Kwaśna, chrupiąca rzepa, którą można znaleźć na polach i farmach.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_PICKLEDBEET;-;ITFO_GS_11;0,4;1;Gamemaster;FAŁSZ;1;10;BRAK;BRAK;12;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;129600;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_PickledTurnips.3ds;PRAWDA
Szaszłyk ze ścierwojada i dyni;7,38;9,18;FAŁSZ;Kawałki mięsa ścierwojada i dyni nadziane na patyk.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_RATSTICK;-;ITFO_GS_12;0,5;2;Gamemaster;FAŁSZ;1;25;BRAK;BRAK;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;151200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_shashlik.3ds;PRAWDA
Ryba w occie z ognistym zielem;6,56;8,50;FAŁSZ;Ryba marynowana w kwaśnej zalewie, doprawiona ostrymi ziołami.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_FISHVINEGAR;-;ITFO_GS_13;0,5;2;Gamemaster;FAŁSZ;1;25;BRAK;BRAK;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;151200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_FishSoup.3ds;PRAWDA
Wędzona ryba ziołowa;6,63;8,36;FAŁSZ;Ryba wędzona aromatycznymi ziołami.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_SMOKEDHERBFISH;-;ITFO_GS_14;0,5;2;Gamemaster;FAŁSZ;1;25;BRAK;BRAK;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;151200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_Fish01.3ds;PRAWDA
Garnek mięsny;7,10;8,84;FAŁSZ;Naczynie gliniane wypełnione duszonym mięsem.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_MARTHSOUP3;-;ITFO_GS_15;0,5;2;Gamemaster;FAŁSZ;1;25;BRAK;BRAK;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;151200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_FoodPot.3ds;PRAWDA
Pieczone ostrygi;6,05;8,02;FAŁSZ;Owoce morza, które zostały poddane obróbce termicznej w piecu, często doprawione serem i przyprawami.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_SIMPLEOYSTERS;-;ITFO_GS_16;0,5;2;Gamemaster;FAŁSZ;1;25;BRAK;BRAK;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;151200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_SeaFruit.3ds;PRAWDA
Mięsne paczuszki;6,72;8,78;FAŁSZ;Kawałki suszonego i wędzonego mięsa, zapakowane w niewielkie, poręczne pakiety.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_MEATPACKS;-;ITFO_GS_17;0,5;2;Gamemaster;FAŁSZ;1;25;BRAK;BRAK;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;151200;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;KM_ITFO_BreadMeatVegies.3ds;PRAWDA
Zapiekanka farmerska;16,97;24,49;FAŁSZ;Mieszanka wszystkiego, co rośnie na farmie, i co można zapiec.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_MEATANDCHEESE;-;ITFO_GS_18;0,6;3;Gamemaster;FAŁSZ;1;35;BRAK;BRAK;70;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_MeatAndBread.3ds;PRAWDA
Pieczeń pasterska w miodzie;18,50;23,85;FAŁSZ;Sycące danie z mięsa i warzyw, pokryte delikatną warstwą miodu.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_SHEPARDROAST;-;ITFO_GS_19;0,6;3;Gamemaster;FAŁSZ;1;35;BRAK;BRAK;70;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_ShepardRoast.3ds;PRAWDA
Specjalność łowcy;16,34;21,15;FAŁSZ;Pyszna potrawa sporządzona ze świeżego mięsa, doskonale przyrządzona przez doświadczonego łowcę.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_HUNTERSPECIAL;-;ITFO_GS_20;0,6;3;Gamemaster;FAŁSZ;1;35;BRAK;BRAK;70;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ITFO_STEW_01.3ds;PRAWDA
Filet rybny ze szczawiem królewskim;15,17;19,87;FAŁSZ;Filet z ryby, zapieczony z rzadkim, królewskim szczawiem.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_FISHFILLETPERM;-;ITFO_GS_21;0,6;3;Gamemaster;FAŁSZ;1;35;BRAK;BRAK;70;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ItFo_FishFilletPerm.3ds;PRAWDA
Dziczyzna w rumie;16,17;20,94;FAŁSZ;Kawałek mięsa dzikiego zwierzęcia zamarynowany i upieczony z dodatkiem rumu.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_MEATMISHMASH;-;ITFO_GS_22;0,6;3;Gamemaster;FAŁSZ;1;35;BRAK;BRAK;70;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kuchenka;ITFO_STEW_02.3ds;PRAWDA
Kebab;BRAK;BRAK;PRAWDA;Dokładnie posmarowany pastą szefa.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;ITFO_MEATMISHMASH;-;ITFO_GS_72;0,6;3;Gamemaster;FAŁSZ;1;50;BRAK;BRAK;50;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;;;FAŁSZ
Wolno pieczony kretoszczur;7,50;7,50;PRAWDA;Wolno pieczony kretoszczur w varanckich przyprawach.;ITEM_CAT_FOOD;-;Consumable;Food;AdminFood;consumable;PRAWDA;;;ITFO_GS_73;0,3;1;Gamemaster;FAŁSZ;1;10;BRAK;BRAK;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;BRAK;PRAWDA;5;5;172800;baked_food;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kucharz;Kebab;itfo_gs_roast_01.3ds;PRAWDA
